site,category,subcategory,lowercategory
hepsiburada,Moda,"Kaban,",
hepsiburada,Moda,Mont,
hepsiburada,Moda,Sweatshirt,
hepsiburada,Moda,Bluz,
hepsiburada,Moda,Gömlek,
hepsiburada,Moda,Pantolon,
hepsiburada,Moda,Ceket,
hepsiburada,Moda,Tayt,
hepsiburada,Moda,Trençkot,
hepsiburada,Moda,"HamileGiyim,",
hepsiburada,Moda,İçGiyim,
hepsiburada,Moda,PlajGiyim,
hepsiburada,Elektronik,"AkımKorumalıPriz,",
hepsiburada,Elektronik,"Wacom,",
hepsiburada,Elektronik,"XpPen,",
hepsiburada,Elektronik,"Selfie(Özçekim)Çubukları,",
hepsiburada,Elektronik,"AkıllıÇocukSaatleri,",
hepsiburada,Elektronik,TCL,
hepsiburada,Elektronik,Müziksistemleri,
hepsiburada,Elektronik,"AlarmSaatliRadyolar,",
hepsiburada,Elektronik,"DVRKayıtCihazı,",
hepsiburada,Elektronik,"Profilo,",
hepsiburada,Elektronik,"TozTorbasızSüpürge,",
hepsiburada,Elektronik,"TümSüpürgeler,",
hepsiburada,Elektronik,YedekParça,
hepsiburada,Elektronik,"Mikser,",
hepsiburada,Elektronik,XboxSeriesX,
hepsiburada,Elektronik,"Konsol,",
hepsiburada,Elektronik,"Oyunlar,",
hepsiburada,Moda,BüyükBeden,
hepsiburada,Moda,Saat,
hepsiburada,Moda,T-Shirt,
hepsiburada,Moda,TakımElbise,
hepsiburada,Moda,Pijama&EvGiyim,
hepsiburada,Moda,"KadınSandalet,",
hepsiburada,Moda,KadınTerlik,
hepsiburada,Moda,KadınÇanta,
hepsiburada,Moda,ErkekÇanta,
hepsiburada,"Ev,Yaşam,Kırtasiye,Ofis",YemekHazırlıkGereçleri,
hepsiburada,"Ev,Yaşam,Kırtasiye,Ofis",Mobilya,
hepsiburada,"Ev,Yaşam,Kırtasiye,Ofis",Aydınlatma,
hepsiburada,"Ev,Yaşam,Kırtasiye,Ofis",Perde,
hepsiburada,"Ev,Yaşam,Kırtasiye,Ofis",Alez,
hepsiburada,"Ev,Yaşam,Kırtasiye,Ofis",PratikÜrünler,
hepsiburada,"Ev,Yaşam,Kırtasiye,Ofis",Yatak,
hepsiburada,Elektronik,"Powerbank,",
hepsiburada,Elektronik,"Kılıflar,",
hepsiburada,Elektronik,"EkranKoruyucular,",
hepsiburada,Elektronik,TaşınabilirHoparlörler,
hepsiburada,Elektronik,"Mikado,",
hepsiburada,Elektronik,"HDMIKablo,",
hepsiburada,Elektronik,ÇamaşırMakineleri,
hepsiburada,Elektronik,Buzdolapları,
hepsiburada,Elektronik,"Uğur,",
hepsiburada,Elektronik,"Delta,",
hepsiburada,Elektronik,Seg,
hepsiburada,Elektronik,Ocaklar,
hepsiburada,Elektronik,Pişirme,
hepsiburada,Elektronik,"BoşKaset&DVD,",
hepsiburada,Elektronik,SLRAksesuarları,
hepsiburada,Elektronik,Playstation5,
hepsiburada,Elektronik,Xbox360,
hepsiburada,Moda,KadınAyakkabı,
hepsiburada,Moda,GünlükAyakkabı,
hepsiburada,"Ev,Yaşam,Kırtasiye,Ofis",Salon&OturmaOdası,
hepsiburada,"Ev,Yaşam,Kırtasiye,Ofis",DuvarKağıdı,
hepsiburada,Elektronik,"Router,",
hepsiburada,Elektronik,"Klavye&MouseSet,",
hepsiburada,Elektronik,GrafikTablet,
hepsiburada,Elektronik,"Xiaomi,",
hepsiburada,Elektronik,Kablolar/SwitchveÇoklayıcılar,
hepsiburada,Elektronik,"JamesDonkey,",
hepsiburada,Elektronik,"Steelseries,",
hepsiburada,Elektronik,"razer,",
hepsiburada,Elektronik,Yazıcılar&Projeksiyon,
hepsiburada,Elektronik,"FotoğrafYazıcısı,",
hepsiburada,Elektronik,"Drum,",
hepsiburada,Elektronik,"ProjeksiyonPerdesi,",
hepsiburada,Elektronik,"TümAndroidTelefonlar,",
hepsiburada,Elektronik,"POCO,",
hepsiburada,Elektronik,"TECNO,",
hepsiburada,Elektronik,"HONOR,",
hepsiburada,Elektronik,"AkıllıBileklik,",
hepsiburada,Elektronik,"ŞarjCihazları,",
hepsiburada,Elektronik,"TasarımKılıflar,",
hepsiburada,Elektronik,"BluetoothAraçKitleri,",
hepsiburada,Elektronik,GPSTakipCihazları,
hepsiburada,Elektronik,AkıllıSaatler,
hepsiburada,Elektronik,"KoruyucuKılıflar,",
hepsiburada,Elektronik,SelfieÇubukları,
hepsiburada,Elektronik,"Pioneer,",
hepsiburada,Elektronik,"HarmanKardon,",
hepsiburada,Elektronik,"Seg,",
hepsiburada,Elektronik,Candy,
hepsiburada,Elektronik,Awox,
hepsiburada,Elektronik,"Kumtel,",
hepsiburada,Elektronik,"TozTorbalıSüpürge,",
hepsiburada,Elektronik,EpilatörlerveIPLCihazları,
hepsiburada,Elektronik,SodaMakinesi,
hepsiburada,Moda,KadınPijama,
hepsiburada,Moda,Eşofman,
hepsiburada,Moda,ErkekDenimPantolonlar,
hepsiburada,"Ev,Yaşam,Kırtasiye,Ofis",Aplik,
hepsiburada,"Ev,Yaşam,Kırtasiye,Ofis",Ayna,
hepsiburada,"Ev,Yaşam,Kırtasiye,Ofis",OyuncuKoltuğu,
